Plant,Region,State,Product,Industry,Month,Year,Production_Volume_Tons,Sales_Volume_Tons,Revenue_INR,Production_Cost_INR,Profit_INR,Customer_Count,Delivery_Time_Days,Customer_Satisfaction,Plant_Efficiency_Percent
Hazira,West,Gujarat,Nitrogen,Electronics,Sep,2022,3756,3565,11739545,9215852,2523693,154,8,7.56,80.23
Chennai,South,Tamil Nadu,Helium,Food & Beverage,Jul,2022,3102,2543,9315009,7558236,1756773,220,6,9.02,80.97
Hazira,West,Gujarat,Hydrogen,Electronics,Jun,2022,520,427,1026081,609242,416839,106,1,8.52,80.7
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,Jan,2025,3947,3250,10604750,7605102,2999648,121,3,7.38,78.59
Hazira,West,Gujarat,Hydrogen,Electronics,Oct,2022,2133,2061,5488443,3463796,2024647,404,3,9.7,97.53
Chennai,South,Tamil Nadu,Carbon Dioxide,Steel,Jun,2022,725,580,2219080,1386170,832910,140,6,8.61,86.38
Chennai,South,Tamil Nadu,Helium,Steel,Jul,2024,4035,3916,8611284,5576166,3035118,171,7,8.44,80.24
Hazira,West,Gujarat,Argon,Chemical,Aug,2023,1178,948,3491484,2936540,554944,361,2,7.68,89.8
Bengaluru,South,Karnataka,Oxygen,Electronics,May,2022,1678,1369,3603208,2513773,1089435,134,9,9.03,83.5
Bengaluru,South,Karnataka,Helium,Food & Beverage,Jan,2023,1922,1578,5085894,3827391,1258503,55,5,8.28,98.28
Bengaluru,South,Karnataka,Nitrogen,Chemical,Jan,2024,3285,3189,6237684,4012470,2225214,163,8,8.89,92.88
Pune,West,Maharashtra,Hydrogen,Healthcare,Mar,2023,1906,1773,6620382,4193850,2426532,478,1,7.48,96.19
Dahej,West,Gujarat,Hydrogen,Steel,Sep,2024,2949,2739,8855187,7495882,1359305,197,4,8.95,75.14
Bengaluru,South,Karnataka,Argon,Healthcare,Jul,2025,4729,4274,10779028,7315045,3463983,185,8,9.79,81.96
Bengaluru,South,Karnataka,Carbon Dioxide,Electronics,Mar,2024,618,500,1509500,1176148,333352,204,6,9.23,96.45
Dahej,West,Gujarat,Helium,Pharmaceutical,May,2023,1700,1615,4459015,2965598,1493417,202,4,7.15,79.6
Hazira,West,Gujarat,Nitrogen,Electronics,Feb,2024,709,674,1989648,1666577,323071,102,9,8.15,81.2
Chennai,South,Tamil Nadu,Carbon Dioxide,Pharmaceutical,May,2025,3504,2986,10044904,6447449,3597455,122,1,9.16,98.74
Dahej,West,Gujarat,Helium,Pharmaceutical,Dec,2024,533,465,1261080,1003375,257705,156,1,7.64,85.62
Bengaluru,South,Karnataka,Hydrogen,Electronics,Dec,2023,558,478,1277216,757705,519511,85,5,7.43,78.22
Hyderabad,South,Telangana,Oxygen,Healthcare,May,2024,4663,3791,14125266,11891033,2234233,263,2,7.18,89.06
Pune,West,Maharashtra,Nitrogen,Food & Beverage,May,2023,3697,3417,12318285,7853508,4464777,149,10,7.69,91.62
Hazira,West,Gujarat,Argon,Pharmaceutical,Jan,2024,4733,4023,7265538,4041646,3223892,389,3,7.74,87.71
Bengaluru,South,Karnataka,Argon,Chemical,Jan,2024,3737,3133,9276813,6908433,2368380,296,4,9.51,96.75
Vadodara,West,Gujarat,Hydrogen,Chemical,May,2023,2249,1853,5820273,3714160,2106113,350,9,7.14,88.3
Pune,West,Maharashtra,Helium,Pharmaceutical,Jun,2024,4808,4234,10394470,6676301,3718169,57,7,8.64,81.43
Jamshedpur,East,Jharkhand,Oxygen,Electronics,Sep,2025,889,733,1531237,978060,553177,83,1,9.58,78.38
Vadodara,West,Gujarat,Oxygen,Steel,Oct,2024,1176,1111,3554089,2142719,1411370,100,9,9.7,96.74
Chennai,South,Tamil Nadu,Hydrogen,Steel,Dec,2023,3703,3449,6670366,4251114,2419252,334,8,9.19,82.63
Bengaluru,South,Karnataka,Argon,Pharmaceutical,Aug,2024,3753,3528,11797632,8850752,2946880,489,5,8.25,94.03
Hazira,West,Gujarat,Nitrogen,Chemical,May,2023,1699,1438,4686442,3361857,1324585,290,10,9.71,98.54
Hazira,West,Gujarat,Oxygen,Healthcare,Oct,2023,2242,1916,4040844,2342347,1698497,412,2,7.77,81.43
Pune,West,Maharashtra,Carbon Dioxide,Pharmaceutical,Jan,2025,3166,2838,6672138,4115884,2556254,138,5,8.64,84.24
Pune,West,Maharashtra,Argon,Steel,Dec,2023,2992,2527,5395145,3437202,1957943,305,7,7.08,97.64
Vadodara,West,Gujarat,Carbon Dioxide,Food & Beverage,Jul,2023,3342,2882,10807500,7662780,3144720,361,6,7.56,84.2
Dahej,West,Gujarat,Hydrogen,Food & Beverage,Apr,2025,2948,2517,5945154,3376507,2568647,154,7,7.81,94.85
Vadodara,West,Gujarat,Carbon Dioxide,Healthcare,Mar,2023,1121,1066,3357900,2784799,573101,178,5,7.88,78.28
Dahej,West,Gujarat,Hydrogen,Chemical,Dec,2025,1328,1171,2610159,1742503,867656,155,8,7.97,85.67
Hazira,West,Gujarat,Hydrogen,Electronics,Sep,2022,2297,2023,3774918,2639403,1135515,131,3,9.12,88.46
Pune,West,Maharashtra,Hydrogen,Electronics,Jan,2022,2797,2759,9841353,6585499,3255854,334,9,7.5,76.86
Dahej,West,Gujarat,Oxygen,Food & Beverage,Apr,2024,4577,4354,14594608,11436757,3157851,83,8,7.95,91.48
Jamshedpur,East,Jharkhand,Oxygen,Chemical,Feb,2022,820,752,1817584,1116648,700936,422,1,9.55,94.09
Hyderabad,South,Telangana,Carbon Dioxide,Healthcare,May,2025,2609,2348,7457248,4611034,2846214,121,9,9.7,85.09
Chennai,South,Tamil Nadu,Hydrogen,Healthcare,Jun,2024,2686,2277,8928117,7528543,1399574,103,4,9.25,77.17
Dahej,West,Gujarat,Hydrogen,Electronics,Aug,2023,3051,2507,7932148,5116577,2815571,248,3,8.06,87.0
Vadodara,West,Gujarat,Nitrogen,Healthcare,Jun,2025,1723,1645,6527360,5178465,1348895,117,1,8.4,84.11
Pune,West,Maharashtra,Nitrogen,Chemical,Nov,2022,2854,2515,5867495,4856396,1011099,427,4,8.65,88.22
Bengaluru,South,Karnataka,Helium,Pharmaceutical,Oct,2023,1351,1226,2781794,2113614,668180,355,4,8.8,75.56
Vadodara,West,Gujarat,Hydrogen,Pharmaceutical,Apr,2024,3443,3351,7013643,4215460,2798183,253,5,7.62,79.21
Chennai,South,Tamil Nadu,Oxygen,Steel,Jun,2023,1413,1391,3342573,2799756,542817,392,7,9.11,84.12
Hyderabad,South,Telangana,Carbon Dioxide,Healthcare,Dec,2023,1059,1013,3786594,2814801,971793,184,5,7.29,79.34
Hyderabad,South,Telangana,Helium,Steel,Jul,2022,3212,2947,6483400,3774013,2709387,202,9,9.66,82.65
Jamshedpur,East,Jharkhand,Helium,Electronics,Sep,2024,1434,1332,3063600,2594617,468983,329,2,8.1,90.34
Hyderabad,South,Telangana,Hydrogen,Pharmaceutical,Mar,2022,4005,3338,9202866,6889441,2313425,256,1,7.84,86.65
Chennai,South,Tamil Nadu,Argon,Healthcare,Feb,2022,2534,2499,6912234,3824046,3088188,228,1,7.82,95.78
Vadodara,West,Gujarat,Carbon Dioxide,Steel,Jun,2024,4342,4259,17291540,11226315,6065225,456,3,8.07,96.75
Bengaluru,South,Karnataka,Hydrogen,Food & Beverage,Feb,2025,2811,2761,7509920,5195457,2314463,416,10,8.92,93.27
Bengaluru,South,Karnataka,Hydrogen,Steel,Jan,2022,2993,2530,4979040,4138903,840137,389,10,8.29,87.63
Vadodara,West,Gujarat,Argon,Electronics,Apr,2023,3210,2721,6527679,4460104,2067575,297,6,8.66,75.16
Dahej,West,Gujarat,Helium,Healthcare,Sep,2024,740,690,2211450,1364846,846604,97,4,8.24,90.41
Jamshedpur,East,Jharkhand,Argon,Healthcare,Jul,2023,1030,842,2627882,1810876,817006,106,7,7.68,94.77
Dahej,West,Gujarat,Nitrogen,Healthcare,Feb,2022,1219,1143,4153662,2834333,1319329,206,8,8.66,84.1
Chennai,South,Tamil Nadu,Nitrogen,Chemical,Jan,2022,2157,1941,7600956,4525694,3075262,240,2,8.69,77.12
Vadodara,West,Gujarat,Nitrogen,Food & Beverage,Sep,2022,1582,1488,5465424,3015407,2450017,230,8,7.64,75.95
Dahej,West,Gujarat,Carbon Dioxide,Chemical,Feb,2024,3790,3112,9874376,6087841,3786535,65,7,8.33,91.09
Hazira,West,Gujarat,Hydrogen,Electronics,Apr,2024,4981,4349,12664288,9145372,3518916,382,7,7.08,78.92
Hazira,West,Gujarat,Helium,Electronics,May,2024,2931,2403,8624367,6660724,1963643,402,4,8.5,85.97
Pune,West,Maharashtra,Oxygen,Food & Beverage,Aug,2025,3114,2771,9191407,5260077,3931330,481,1,7.79,95.16
Hazira,West,Gujarat,Helium,Pharmaceutical,Mar,2022,2915,2880,10140480,5611765,4528715,464,1,9.72,89.33
Vadodara,West,Gujarat,Hydrogen,Healthcare,May,2023,3365,2971,7733513,6332062,1401451,124,5,7.24,82.0
Hazira,West,Gujarat,Oxygen,Steel,Oct,2022,1339,1283,2637848,1857210,780638,133,1,8.01,82.75
Vadodara,West,Gujarat,Argon,Steel,Oct,2022,3474,2990,11864320,8173236,3691084,369,7,8.12,81.65
Bengaluru,South,Karnataka,Nitrogen,Chemical,Feb,2022,2621,2378,6953272,4486608,2466664,324,6,9.2,84.36
Dahej,West,Gujarat,Nitrogen,Chemical,Feb,2024,2780,2447,7326318,5551117,1775201,99,5,8.91,81.34
Hazira,West,Gujarat,Helium,Steel,Mar,2023,1532,1288,3335920,2683487,652433,489,8,9.03,83.89
Hyderabad,South,Telangana,Carbon Dioxide,Chemical,Oct,2022,2157,1932,3494988,2629339,865649,428,7,7.74,96.35
Chennai,South,Tamil Nadu,Oxygen,Pharmaceutical,Dec,2022,3575,3450,12050850,6904234,5146616,500,1,8.13,98.03
Hyderabad,South,Telangana,Carbon Dioxide,Healthcare,Jun,2022,1329,1172,4511028,3414617,1096411,196,5,9.67,94.19
Pune,West,Maharashtra,Argon,Healthcare,Oct,2025,4111,3343,12509506,8189729,4319777,83,10,8.26,95.6
Bengaluru,South,Karnataka,Carbon Dioxide,Food & Beverage,Jan,2022,2072,2000,7540000,5649833,1890167,129,6,8.45,75.44
Vadodara,West,Gujarat,Nitrogen,Electronics,Mar,2024,3978,3516,11961432,6996020,4965412,470,4,8.35,76.65
Bengaluru,South,Karnataka,Hydrogen,Electronics,Sep,2023,4286,4141,13938606,10144012,3794594,459,8,7.36,98.88
Pune,West,Maharashtra,Nitrogen,Food & Beverage,Jul,2024,938,822,2663280,1686495,976785,249,2,7.97,90.73
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,Mar,2023,557,535,1497465,1255272,242193,335,7,8.72,84.94
Vadodara,West,Gujarat,Helium,Pharmaceutical,Jul,2023,2426,2120,7947880,4795373,3152507,142,8,7.27,84.38
Jamshedpur,East,Jharkhand,Helium,Healthcare,Sep,2025,1205,975,3424200,2882361,541839,418,5,9.16,79.2
Vadodara,West,Gujarat,Nitrogen,Food & Beverage,Sep,2025,4698,4375,16970625,12761913,4208712,313,1,8.77,96.9
Bengaluru,South,Karnataka,Oxygen,Electronics,Jul,2022,4101,3793,7119461,3924050,3195411,106,9,7.92,94.83
Pune,West,Maharashtra,Nitrogen,Chemical,Mar,2024,1185,987,3659796,2615666,1044130,490,3,8.38,84.1
Hazira,West,Gujarat,Argon,Healthcare,Feb,2023,3956,3177,10191816,7923034,2268782,155,9,9.0,80.86
Bengaluru,South,Karnataka,Hydrogen,Electronics,Nov,2022,2351,2199,7683306,5052909,2630397,65,10,8.27,97.96
Jamshedpur,East,Jharkhand,Argon,Food & Beverage,Dec,2023,4895,4725,12979575,9985507,2994068,374,6,9.66,95.8
Pune,West,Maharashtra,Hydrogen,Food & Beverage,Nov,2023,2745,2400,6720000,4999643,1720357,379,5,7.63,77.74
Bengaluru,South,Karnataka,Hydrogen,Food & Beverage,Jan,2023,4864,4065,13747830,8272190,5475640,443,3,8.33,82.53
Hazira,West,Gujarat,Oxygen,Steel,Oct,2025,4039,3722,11084116,7817605,3266511,412,7,8.09,92.59
Pune,West,Maharashtra,Argon,Chemical,Jun,2022,664,631,1596430,1025138,571292,110,3,9.42,77.05
Dahej,West,Gujarat,Oxygen,Electronics,Jun,2022,569,518,969696,705545,264151,78,9,7.04,93.18
Vadodara,West,Gujarat,Helium,Healthcare,Jul,2024,1630,1479,5632032,3438807,2193225,374,2,9.43,91.17
Hyderabad,South,Telangana,Carbon Dioxide,Chemical,Feb,2023,788,702,1984554,1543560,440994,281,8,9.25,77.76
Jamshedpur,East,Jharkhand,Hydrogen,Electronics,Oct,2025,3191,2671,10400874,5943004,4457870,240,10,8.55,90.72
Jamshedpur,East,Jharkhand,Nitrogen,Chemical,Jul,2023,1140,1034,4301440,2766524,1534916,204,9,7.08,91.95
Pune,West,Maharashtra,Oxygen,Food & Beverage,Sep,2025,4179,3390,10264920,6731490,3533430,374,3,8.82,97.38
Vadodara,West,Gujarat,Argon,Steel,Sep,2022,1467,1189,2266234,1411929,854305,429,2,7.8,86.12
Vadodara,West,Gujarat,Helium,Chemical,Jul,2023,3968,3359,13822285,8752583,5069702,68,2,9.59,77.85
Hyderabad,South,Telangana,Helium,Steel,Jan,2025,3452,2989,11698946,7283551,4415395,411,9,8.54,90.8
Hyderabad,South,Telangana,Hydrogen,Electronics,Nov,2022,2336,1893,4675710,3754709,921001,423,6,8.52,87.02
Pune,West,Maharashtra,Helium,Healthcare,Jan,2022,2942,2798,10817068,7205228,3611840,381,1,8.17,84.4
Jamshedpur,East,Jharkhand,Oxygen,Electronics,Jun,2024,4604,4373,11295459,7628137,3667322,372,2,9.0,87.81
Bengaluru,South,Karnataka,Argon,Electronics,Oct,2023,722,712,1723752,1331407,392345,432,9,8.93,77.59
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,Feb,2024,2224,1938,7719054,5505737,2213317,455,8,8.43,88.1
Dahej,West,Gujarat,Hydrogen,Food & Beverage,May,2023,583,494,1289340,1021842,267498,206,2,8.44,91.21
Dahej,West,Gujarat,Oxygen,Food & Beverage,Mar,2025,4113,3364,9819516,7016617,2802899,53,9,7.0,86.85
Hyderabad,South,Telangana,Helium,Electronics,Dec,2022,663,581,2150862,1706318,444544,337,7,8.74,88.68
Pune,West,Maharashtra,Helium,Electronics,Jul,2024,4128,3599,10188769,8401223,1787546,263,6,7.66,88.01
Jamshedpur,East,Jharkhand,Nitrogen,Healthcare,May,2025,3776,3633,9765504,6215746,3549758,409,4,7.77,77.1
Hazira,West,Gujarat,Nitrogen,Pharmaceutical,Mar,2023,2563,2144,6972288,5459091,1513197,371,3,7.91,95.34
Pune,West,Maharashtra,Hydrogen,Pharmaceutical,May,2022,3584,3435,12960255,8324999,4635256,316,1,7.41,80.3
Hyderabad,South,Telangana,Argon,Pharmaceutical,Jun,2025,2405,2354,6876034,5223631,1652403,158,3,9.75,97.43
Chennai,South,Tamil Nadu,Helium,Steel,Apr,2023,942,760,2516360,2136926,379434,148,3,7.72,92.6
Hyderabad,South,Telangana,Argon,Pharmaceutical,Feb,2022,3670,3525,9947550,7223796,2723754,304,5,7.79,78.81
Vadodara,West,Gujarat,Carbon Dioxide,Pharmaceutical,Apr,2022,3256,2807,7070833,4411732,2659101,418,3,9.6,88.22
Vadodara,West,Gujarat,Argon,Steel,May,2023,1702,1420,4085340,2375895,1709445,421,4,7.18,88.45
Vadodara,West,Gujarat,Argon,Electronics,Dec,2024,3704,3383,6437849,3797959,2639890,288,3,8.13,91.47
Hyderabad,South,Telangana,Hydrogen,Chemical,Mar,2023,1760,1671,5606205,3134891,2471314,207,2,8.52,96.09
Chennai,South,Tamil Nadu,Nitrogen,Steel,Oct,2023,1480,1462,3849446,2895827,953619,105,7,9.88,85.33
Hazira,West,Gujarat,Argon,Steel,Oct,2024,1731,1659,3887037,2151505,1735532,435,5,7.92,77.37
Jamshedpur,East,Jharkhand,Argon,Food & Beverage,Nov,2025,2193,1916,3452632,2291885,1160747,462,3,9.06,91.05
Dahej,West,Gujarat,Oxygen,Healthcare,Feb,2024,1389,1145,4525040,2717371,1807669,366,10,9.67,77.41
Dahej,West,Gujarat,Oxygen,Pharmaceutical,Mar,2024,1811,1767,5990130,3816874,2173256,386,6,8.59,92.0
Hazira,West,Gujarat,Nitrogen,Healthcare,Nov,2022,4105,3801,8860131,7372612,1487519,186,10,7.0,80.33
Bengaluru,South,Karnataka,Argon,Electronics,Nov,2025,1061,919,2225818,1674227,551591,240,4,8.1,75.17
Bengaluru,South,Karnataka,Nitrogen,Electronics,Feb,2025,1648,1368,4075272,2545769,1529503,195,9,9.26,88.23
Hazira,West,Gujarat,Oxygen,Steel,Jul,2023,2485,2038,6075278,5097080,978198,187,10,8.32,79.28
Chennai,South,Tamil Nadu,Nitrogen,Chemical,Feb,2023,3591,3520,14379200,11734505,2644695,124,5,7.42,77.37
Chennai,South,Tamil Nadu,Oxygen,Chemical,Jun,2023,3368,3295,12244220,10179713,2064507,396,8,8.83,88.06
Hazira,West,Gujarat,Argon,Steel,Jun,2024,2780,2614,5711590,4553388,1158202,152,8,7.32,89.88
Hyderabad,South,Telangana,Argon,Steel,Jun,2025,2535,2266,9165970,6193364,2972606,457,6,7.6,78.93
Chennai,South,Tamil Nadu,Oxygen,Steel,Mar,2025,2008,1684,5198508,3912410,1286098,175,6,9.08,98.43
Bengaluru,South,Karnataka,Helium,Electronics,Dec,2023,1284,1119,3724032,2821657,902375,394,9,8.14,98.77
Dahej,West,Gujarat,Hydrogen,Steel,May,2023,4488,3912,13402512,7432323,5970189,372,9,7.08,93.71
Chennai,South,Tamil Nadu,Helium,Food & Beverage,Aug,2022,2553,2442,6336990,3912430,2424560,480,6,9.8,92.63
Hazira,West,Gujarat,Carbon Dioxide,Electronics,Oct,2024,2524,2494,4795962,3715807,1080155,93,6,7.63,98.56
Chennai,South,Tamil Nadu,Helium,Chemical,Apr,2023,4234,4108,7833956,5419649,2414307,410,2,8.49,89.62
Pune,West,Maharashtra,Hydrogen,Steel,Jul,2024,762,641,1855695,1351770,503925,163,5,8.59,90.88
Chennai,South,Tamil Nadu,Oxygen,Healthcare,May,2025,899,735,2928240,1924842,1003398,376,10,8.3,93.76
Hazira,West,Gujarat,Oxygen,Chemical,Nov,2025,3084,3010,6387220,4617596,1769624,219,2,9.38,79.21
Pune,West,Maharashtra,Helium,Pharmaceutical,Feb,2022,1555,1369,3637433,2408335,1229098,110,4,7.58,95.98
Hazira,West,Gujarat,Hydrogen,Steel,Apr,2022,2346,2204,8331120,5811166,2519954,148,5,8.52,84.67
Bengaluru,South,Karnataka,Helium,Food & Beverage,Jan,2022,1646,1569,5918268,3301155,2617113,475,10,9.54,75.35
Jamshedpur,East,Jharkhand,Carbon Dioxide,Electronics,Mar,2023,4570,4402,11872194,7053756,4818438,422,2,7.91,90.83
Dahej,West,Gujarat,Argon,Healthcare,May,2025,2184,1765,3413510,2784851,628659,371,10,9.3,96.8
Dahej,West,Gujarat,Carbon Dioxide,Healthcare,Jan,2025,4157,3757,10012405,7794769,2217636,165,5,8.15,82.77
Chennai,South,Tamil Nadu,Carbon Dioxide,Pharmaceutical,Jul,2023,1862,1600,5088000,3313648,1774352,239,1,9.69,98.64
Bengaluru,South,Karnataka,Helium,Electronics,Jan,2024,3417,2854,7152124,5193475,1958649,273,3,7.34,95.83
Vadodara,West,Gujarat,Hydrogen,Food & Beverage,Nov,2024,4908,4320,13828320,10185808,3642512,303,7,7.24,84.32
Pune,West,Maharashtra,Argon,Electronics,Jan,2023,4912,4387,13411059,8872762,4538297,340,6,7.33,91.21
Hazira,West,Gujarat,Hydrogen,Healthcare,Feb,2022,4803,4360,17222000,12948221,4273779,290,2,7.48,90.76
Jamshedpur,East,Jharkhand,Hydrogen,Electronics,May,2025,2026,1751,7012755,5256784,1755971,499,7,9.86,87.5
Vadodara,West,Gujarat,Nitrogen,Healthcare,Apr,2024,2370,2055,5445750,3644935,1800815,478,4,8.04,77.66
Chennai,South,Tamil Nadu,Hydrogen,Steel,Jun,2022,4599,4258,11130412,6520429,4609983,406,9,8.78,85.88
Vadodara,West,Gujarat,Carbon Dioxide,Food & Beverage,May,2022,3944,3681,6890832,5129022,1761810,471,7,7.35,87.33
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,Nov,2022,3107,2613,7818096,4942366,2875730,70,10,8.26,78.05
Pune,West,Maharashtra,Nitrogen,Pharmaceutical,Jul,2024,2214,1965,3880875,2583474,1297401,171,7,7.75,92.77
Pune,West,Maharashtra,Helium,Chemical,Nov,2023,4989,4455,13360545,8234161,5126384,256,4,7.66,84.25
Hyderabad,South,Telangana,Helium,Electronics,Oct,2024,2394,2308,9453568,6506379,2947189,87,1,7.37,83.5
Hyderabad,South,Telangana,Helium,Steel,Oct,2025,2367,2300,8526100,5714162,2811938,65,5,9.2,92.62
Hyderabad,South,Telangana,Hydrogen,Food & Beverage,Mar,2025,3783,3470,11798000,7525318,4272682,350,2,7.87,90.02
Bengaluru,South,Karnataka,Argon,Food & Beverage,Feb,2023,4084,3418,10052338,8444141,1608197,299,5,8.32,85.17
Hyderabad,South,Telangana,Hydrogen,Food & Beverage,Oct,2022,2105,1762,7072668,5571159,1501509,151,4,9.47,83.79
Hazira,West,Gujarat,Nitrogen,Healthcare,Jun,2022,863,779,1560337,1182801,377536,84,9,7.31,85.34
Hazira,West,Gujarat,Nitrogen,Steel,Sep,2023,1748,1657,3357082,1992953,1364129,453,8,7.81,90.05
Dahej,West,Gujarat,Argon,Pharmaceutical,Oct,2022,2341,2317,6195658,4423279,1772379,458,7,8.03,79.71
Dahej,West,Gujarat,Nitrogen,Food & Beverage,May,2022,4674,3985,15346235,12471685,2874550,463,8,7.54,98.28
Dahej,West,Gujarat,Argon,Pharmaceutical,Oct,2023,4201,3717,7285320,5670567,1614753,491,2,9.2,75.73
Pune,West,Maharashtra,Hydrogen,Healthcare,Feb,2022,3024,2635,7441240,6271317,1169923,177,4,7.46,78.78
Chennai,South,Tamil Nadu,Oxygen,Healthcare,Aug,2024,1491,1437,2736048,1530790,1205258,86,8,8.15,92.23
Pune,West,Maharashtra,Nitrogen,Healthcare,Jul,2025,2989,2435,10093075,6359752,3733323,489,6,9.64,85.7
Vadodara,West,Gujarat,Oxygen,Steel,Sep,2022,1981,1908,4775724,3604860,1170864,170,3,8.19,80.31
Hazira,West,Gujarat,Argon,Pharmaceutical,Nov,2025,3372,2943,6033150,3525754,2507396,403,10,9.15,77.22
Pune,West,Maharashtra,Oxygen,Healthcare,Aug,2025,2466,1982,6130326,3513180,2617146,305,9,7.82,80.33
Chennai,South,Tamil Nadu,Carbon Dioxide,Chemical,Oct,2022,600,566,1446696,819734,626962,285,5,8.58,88.48
Hyderabad,South,Telangana,Carbon Dioxide,Healthcare,Jan,2022,4228,3401,10543100,7808966,2734134,145,4,9.5,84.82
Jamshedpur,East,Jharkhand,Oxygen,Steel,Oct,2022,2368,2278,5460366,4020559,1439807,412,5,7.82,95.07
Hazira,West,Gujarat,Nitrogen,Healthcare,Jul,2022,2018,1718,4513186,3700374,812812,290,10,8.13,86.16
Bengaluru,South,Karnataka,Oxygen,Food & Beverage,Feb,2025,1644,1624,3228512,2715896,512616,439,9,8.94,77.76
Jamshedpur,East,Jharkhand,Argon,Electronics,Jan,2023,4791,4609,14923942,8539802,6384140,264,6,9.4,76.08
Bengaluru,South,Karnataka,Helium,Food & Beverage,Dec,2023,4529,4145,14884695,10009371,4875324,325,8,8.74,96.96
Jamshedpur,East,Jharkhand,Nitrogen,Healthcare,Oct,2022,4134,3811,7500048,4997203,2502845,428,3,8.63,95.13
Pune,West,Maharashtra,Carbon Dioxide,Food & Beverage,Mar,2024,721,691,2268553,1607966,660587,257,5,7.11,91.34
Vadodara,West,Gujarat,Carbon Dioxide,Chemical,Dec,2024,2382,2131,6491026,5013332,1477694,462,7,9.47,87.37
Pune,West,Maharashtra,Carbon Dioxide,Healthcare,Jun,2025,3156,2647,8774805,5632674,3142131,312,10,7.18,90.77
Chennai,South,Tamil Nadu,Helium,Food & Beverage,Jan,2025,2940,2427,8137731,4549390,3588341,118,7,7.39,83.06
Vadodara,West,Gujarat,Oxygen,Food & Beverage,Mar,2024,2081,1751,7343694,5954233,1389461,225,5,8.58,80.24
Dahej,West,Gujarat,Oxygen,Food & Beverage,Jul,2024,1270,1081,3207327,1924698,1282629,484,2,7.56,96.35
Vadodara,West,Gujarat,Hydrogen,Chemical,Apr,2022,1741,1649,6173856,4144741,2029115,235,2,9.33,85.57
Hyderabad,South,Telangana,Helium,Pharmaceutical,Aug,2023,1493,1398,5569632,3653718,1915914,290,7,7.8,96.42
Vadodara,West,Gujarat,Oxygen,Chemical,Mar,2025,3061,2649,10842357,7621609,3220748,126,4,9.31,77.56
Hyderabad,South,Telangana,Helium,Pharmaceutical,Aug,2025,4859,4796,16656508,11976766,4679742,145,10,8.48,89.14
Hyderabad,South,Telangana,Carbon Dioxide,Pharmaceutical,Jul,2025,4531,4410,16806510,12310011,4496499,176,5,8.8,85.6
Dahej,West,Gujarat,Nitrogen,Steel,Dec,2023,4220,3959,10954553,9278136,1676417,148,7,9.56,85.41
Dahej,West,Gujarat,Argon,Chemical,May,2022,4081,3400,9166400,5526889,3639511,443,3,7.8,96.87
Vadodara,West,Gujarat,Carbon Dioxide,Pharmaceutical,Oct,2025,4810,4200,11016600,6419432,4597168,216,4,8.8,83.01
Chennai,South,Tamil Nadu,Carbon Dioxide,Healthcare,Jul,2025,3505,3157,9897195,8326843,1570352,73,4,9.04,92.43
Vadodara,West,Gujarat,Oxygen,Electronics,Apr,2024,1502,1310,2656680,1863194,793486,318,7,9.2,85.22
Bengaluru,South,Karnataka,Nitrogen,Electronics,Sep,2023,654,579,1647834,936780,711054,448,3,9.22,94.78
Chennai,South,Tamil Nadu,Oxygen,Steel,Mar,2022,4037,3814,7193204,5721559,1471645,351,3,9.22,85.25
Vadodara,West,Gujarat,Nitrogen,Steel,Dec,2023,1150,1044,2695608,2225841,469767,464,7,9.88,79.77
Hazira,West,Gujarat,Argon,Chemical,Nov,2025,2608,2413,6211062,4231811,1979251,458,9,9.63,96.08
Hazira,West,Gujarat,Carbon Dioxide,Pharmaceutical,Aug,2022,621,571,1718710,992480,726230,280,2,8.17,78.67
Vadodara,West,Gujarat,Helium,Food & Beverage,Feb,2023,3654,3147,7565388,5626903,1938485,205,8,8.44,92.67
Dahej,West,Gujarat,Nitrogen,Electronics,Jul,2025,529,480,1150080,801668,348412,372,9,8.63,97.42
Chennai,South,Tamil Nadu,Argon,Electronics,Apr,2025,3117,2877,6663132,4827168,1835964,311,6,9.88,98.12
Dahej,West,Gujarat,Hydrogen,Healthcare,Jun,2024,1677,1586,5002244,3955466,1046778,156,10,7.52,78.83
Dahej,West,Gujarat,Hydrogen,Healthcare,Jun,2023,2565,2103,7385736,5279059,2106677,218,7,7.09,98.09
Vadodara,West,Gujarat,Argon,Healthcare,Aug,2022,613,497,1391600,1059264,332336,333,2,8.92,75.25
Pune,West,Maharashtra,Hydrogen,Electronics,Nov,2025,4395,3773,7847840,5362984,2484856,293,2,9.55,82.05
Hazira,West,Gujarat,Hydrogen,Food & Beverage,Dec,2024,1038,938,3615990,2086835,1529155,404,7,7.5,92.97
Jamshedpur,East,Jharkhand,Oxygen,Chemical,Aug,2023,3398,2870,11118380,9267516,1850864,94,7,7.84,97.86
Hyderabad,South,Telangana,Helium,Electronics,Aug,2023,3799,3752,11552408,7676714,3875694,282,9,9.4,75.65
Jamshedpur,East,Jharkhand,Oxygen,Steel,May,2024,1090,906,2465226,1698229,766997,392,8,7.81,80.52
Chennai,South,Tamil Nadu,Nitrogen,Electronics,Mar,2025,2749,2643,4886907,3963449,923458,144,4,9.75,81.57
